,회사,사업,직원수,기업구분,대졸초임,정규직 채용
0,넛지헬스케어㈜,모바일·APP,227명,벤처기업,None,100회
1,㈜코리아페이먼트,솔루션·SI·CRM·ERP,8명,중소기업,None,2회
2,㈜좋은정보기술,응용 소프트웨어 개발 및 공급업,15명,중소기업,None,51회
3,테크에스지㈜,기타 부동산 개발 및 공급업,5명,중소기업,None,7회
4,한국스마트정보교육원,기타 기술 및 직업훈련학원,4명,중소기업,None,8회
5,코아아이티,컴퓨터·하드웨어·장비,101명,중소기업,"2,950만원",127회
6,플레이워크,데이터베이스 및 온라인정보 제공업,-,중소기업,None,23회
7,디제이메디㈜,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,11회
8,㈜오앤트,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,99회
9,㈜큐브베리,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,4회
10,제이이노텍,응용 소프트웨어 개발 및 공급업,26명,중소기업,None,78회
11,㈜메가젠임플란트,제약·보건·바이오,730명,중견기업,"4,200만원",219회
12,몽구스에이아이㈜,기타 엔지니어링 서비스업,-,중소기업,None,3회
13,㈜보인정보기술,솔루션·SI·CRM·ERP,55명,중소기업,"3,000만원",78회
14,㈜스냅컴퍼니,IT컨설팅,120명,중소기업,None,150회
15,아람㈜,기타 게임 소프트웨어 개발 및 공급업,3명,중소기업,None,18회
16,하솜정보기술㈜,솔루션·SI·CRM·ERP,10명,중소기업,None,34회
17,오아㈜,생활용품·소비재·기타,124명,중소기업,"3,000만원",42회
18,㈜에프아이티,솔루션·SI·CRM·ERP,20명,벤처기업,None,13회
19,내가그린기린그림,웹에이전시,12명,중소기업,None,30회
20,㈜텐노드솔루션,응용 소프트웨어 개발 및 공급업,55명,중소기업,"3,650만원",8회
21,바이오링크㈜,솔루션·SI·CRM·ERP,11명,중소기업,None,19회
22,㈜쓰리탑,쇼핑몰·오픈마켓·소셜커머스,90명,중소기업,"3,400만원",32회
23,㈜저스티드,응용 소프트웨어 개발 및 공급업,22명,중소기업,None,1회
24,㈜웅진,지주회사,888명,중견기업,None,814회
25,㈜케이에스씨앤씨(KSC&C Inc.),시스템 소프트웨어 개발 및 공급업,60명,중소기업,None,53회
26,넛지헬스케어㈜,모바일·APP,227명,벤처기업,None,100회
27,㈜코리아페이먼트,솔루션·SI·CRM·ERP,8명,중소기업,None,2회
28,㈜좋은정보기술,응용 소프트웨어 개발 및 공급업,15명,중소기업,None,51회
29,테크에스지㈜,기타 부동산 개발 및 공급업,5명,중소기업,None,7회
30,한국스마트정보교육원,기타 기술 및 직업훈련학원,4명,중소기업,None,8회
31,코아아이티,컴퓨터·하드웨어·장비,101명,중소기업,"2,950만원",127회
32,플레이워크,데이터베이스 및 온라인정보 제공업,-,중소기업,None,23회
33,디제이메디㈜,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,11회
34,㈜오앤트,시스템 소프트웨어 개발 및 공급업,10명,중소기업,None,99회
35,㈜큐브베리,응용 소프트웨어 개발 및 공급업,9명,중소기업,None,4회
36,제이이노텍,응용 소프트웨어 개발 및 공급업,26명,중소기업,None,78회
37,㈜메가젠임플란트,제약·보건·바이오,730명,중견기업,"4,200만원",219회
38,몽구스에이아이㈜,기타 엔지니어링 서비스업,-,중소기업,None,3회
