,Date,IUCR,Location Description,Arrest,District,Ward,Community Area,Location,VIN,ATTEMPT,RECOVERY
59721,12/12/2022 09:00:00 AM,AUTOMOBILE,STREET,False,3.0,20.0,42.0,"(41.770863747, -87.611853397)",1,0,0
122902,07/02/2008 11:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,5.0,9.0,49.0,"(41.691823876, -87.619613355)",1,0,0
70479,10/22/2022 01:35:00 AM,AUTOMOBILE,STREET,False,11.0,24.0,29.0,"(41.869814952, -87.736865222)",1,0,0
279038,02/22/2010 01:11:59 AM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,15.0,24.0,25.0,"(41.870201153, -87.750079139)",1,0,0
118099,02/10/2008 02:30:00 AM,AUTOMOBILE,STREET,False,18.0,43.0,7.0,"(41.916555511, -87.648444556)",1,0,0
180570,06/05/2002 06:00:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.928072932, -87.756295625)",1,0,0
319759,08/23/2012 11:00:00 PM,AUTOMOBILE,STREET,False,11.0,27.0,23.0,"(41.894166241, -87.713837336)",1,0,0
43004,01/13/2022 02:00:00 AM,AUTOMOBILE,STREET,False,9.0,12.0,59.0,"(41.823280995, -87.671815765)",1,0,0
383884,10/22/2017 03:00:00 AM,AUTOMOBILE,HOUSE,False,9.0,11.0,61.0,"(41.806203361, -87.641533514)",1,0,0
101929,04/26/2007 07:00:00 PM,AUTOMOBILE,STREET,False,5.0,34.0,49.0,"(41.690701611, -87.628533689)",1,0,0
223108,02/12/2004 10:45:00 AM,AUTOMOBILE,STREET,False,14.0,35.0,22.0,"(41.929621301, -87.712233902)",1,0,0
294437,09/05/2010 09:00:00 PM,AUTOMOBILE,STREET,False,25.0,30.0,20.0,"(41.918896243, -87.734854138)",1,0,0
336992,06/27/2013 10:50:00 PM,AUTOMOBILE,STREET,False,18.0,42.0,8.0,"(41.894148934, -87.623601811)",1,0,0
204636,05/06/2003 10:00:00 PM,AUTOMOBILE,STREET,False,4.0,10.0,52.0,"(41.698448355, -87.535283735)",1,0,0
2270,04/18/2020 10:00:00 AM,AUTOMOBILE,STREET,False,8.0,23.0,66.0,"(41.783380057, -87.712294321)",1,0,0
331526,11/28/2012 08:00:00 PM,AUTOMOBILE,STREET,False,12.0,25.0,31.0,"(41.85789117, -87.660395346)",1,0,1
400028,06/27/2019 11:30:00 AM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.862446579, -87.710997495)",1,0,0
327403,12/28/2012 02:00:00 PM,AUTOMOBILE,STREET,False,7.0,16.0,68.0,"(41.78623632, -87.64616662)",1,0,0
295860,10/14/2010 09:30:00 PM,AUTOMOBILE,STREET,False,3.0,20.0,40.0,"(41.780946398, -87.621995369)",1,0,0
303237,02/05/2011 03:00:00 PM,AUTOMOBILE,STREET,False,9.0,14.0,63.0,"(41.80288982, -87.689476369)",1,0,0
270011,11/25/2009 06:00:00 AM,AUTOMOBILE,PARKINGZONE,False,22.0,19.0,72.0,"(41.700006997, -87.669916892)",1,0,0
272680,08/11/2009 01:30:00 AM,AUTOMOBILE,STREET,False,25.0,31.0,20.0,"(41.919416492, -87.738857992)",1,0,0
89289,11/13/2006 04:00:00 AM,AUTOMOBILE,STREET,False,4.0,8.0,46.0,"(41.74926783, -87.578377118)",1,0,0
207339,07/23/2003 11:30:00 AM,AUTOMOBILE,STREET,False,25.0,30.0,23.0,"(41.908564068, -87.722838379)",1,0,0
409597,04/18/2020 12:00:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,19.0,40.0,4.0,"(41.966760254, -87.692039192)",1,0,0
19021,03/19/2024 07:00:00 AM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.898389984, -87.772651303)",1,0,0
238804,11/09/2004 04:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,10.0,25.0,31.0,"(41.847879154, -87.685524032)",1,0,0
61509,12/20/2022 03:30:00 PM,AUTOMOBILE,STREET,False,18.0,2.0,8.0,"(41.906795606, -87.640885717)",1,0,0
292500,10/04/2010 08:00:00 PM,AUTOMOBILE,STREET,False,17.0,33.0,16.0,"(41.95759018, -87.700142317)",1,0,0
360053,12/23/2015 11:00:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,20.0,"(41.932494055, -87.738053004)",1,0,0
139168,07/26/2023 09:30:00 AM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.863865221, -87.71656758)",1,0,0
346865,04/03/2014 12:00:00 AM,AUTOMOBILE,STREET,False,9.0,11.0,60.0,"(41.83663668, -87.654765038)",1,0,0
61014,11/23/2022 11:30:00 AM,AUTOMOBILE,STREET,False,12.0,11.0,28.0,"(41.869492713, -87.645378478)",1,0,0
