지역,년도,2만원 미만,2만원~4만원,4만원~6만원,6만원~8만원,8만원~10만원,10만원~12만원,12만원 이상,
전체,2015,12.8,21.7,26.2,17.9,7.8,7.7,5.9,100
서울,2015,7.9,15.2,26.9,23.3,10.3,8.9,7.5,100
부산,2015,15.6,20.7,28.3,19,6.9,5.9,3.6,100
대구,2015,22.2,27.8,27.8,13.3,3,3.2,2.8,100.1
인천,2015,13.1,19.2,24.1,15.7,8.3,11.8,7.9,100.1
광주,2015,21.9,27.6,29,12.5,2.5,3.4,3.1,100
대전,2015,25,26.7,25.1,13,3.2,3.1,3.8,99.9
울산,2015,18.1,33.8,27.3,13.1,3,2.9,1.9,100.1
세종,2015,-,-,-,-,-,-,-,0
경기,2015,12.1,18.9,23.1,17.9,9.9,10.4,7.7,100
강원,2015,18.1,44.3,24.6,7.9,2,2.2,0.8,99.9
충북,2015,18.9,42,23.8,8.5,2.4,1.6,2.8,100
충남,2015,18.8,40.6,24.2,7.9,2.6,3.3,2.6,100
전북,2015,15,38.1,34.5,8.9,1.1,1,1.3,99.9
전남,2015,10.6,44.8,34,7.9,1.3,1,0.5,100.1
경북,2015,17.8,36.3,30,10.5,1.8,2.5,1.2,100.1
경남,2015,15.8,31.6,29.5,12.9,3.8,3.9,2.5,100
제주,2015,10.2,43.8,31,9.7,1.8,2.3,1.1,99.9
전체,2016,14.4,12.5,14.7,10.3,24.8,14.2,9.1,100
서울,2016,10,8.3,11.9,9.9,29.1,18.6,12.3,100.1
부산,2016,16.4,11,13,7.9,27.2,14.3,10.2,100
대구,2016,20.4,14.6,15.2,9.8,22.3,12,5.6,99.9
인천,2016,15.5,11.1,16.2,9.1,25.8,13.9,8.5,100.1
광주,2016,20,13.6,16.3,9.9,24.7,10.9,4.5,99.9
대전,2016,23.8,14.4,16,9,21.4,10,5.4,100
울산,2016,16.8,14.3,17.3,10.3,20.9,11.7,8.7,100
세종,2016,12.4,26.4,24.3,12.4,16.5,5.3,2.9,100.2
경기,2016,15.4,11.8,14.3,9.7,24,14.5,10.4,100.1
강원,2016,15.7,25,22.3,13.9,13.1,7.7,2.2,99.9
충북,2016,17.7,24.9,19.8,11.2,16.6,7.6,2.2,100
충남,2016,17.6,26.4,20.5,9.8,15.9,6.2,3.6,100
전북,2016,13.1,19.4,20.8,17,18.7,7.7,3.4,100.1
전남,2016,11.3,23.5,22.4,16.2,17.5,6.6,2.6,
경북,2016,15.6,21.3,18.6,12.5,20.4,8.8,2.8,
경남,2016,15.3,16.6,18.4,13.9,20,10.1,5.7,
제주,2016,12.2,19.7,22.7,16.6,16.7,7.6,4.5,
전체,2017,10,21.1,28.4,19,7.5,9,5.1,
서울,2017,6.6,15.2,29.4,23.6,9,10.1,6.1,
부산,2017,11.9,20.6,29.7,20.6,6.5,7.3,3.5,
대구,2017,10.5,20.6,25.9,16.1,8,12.5,6.4,
인천,2017,16.7,26.3,29.9,15.5,4.3,4.9,2.4,
광주,2017,20.5,27.3,28.3,13.9,3,4.5,2.5,
대전,2017,16.3,27,32.5,13.5,3.4,4.4,2.9,
울산,2017,12.3,28.6,30.3,19.1,4,4.1,1.6,
세종,2017,8.8,49.4,28,7.6,2.1,2.8,1.2,
경기,2017,9.7,18.9,25.3,18.2,9.5,11.8,6.6,
강원,2017,13.8,44.3,27.8,9.3,1.7,2,0.9,
충북,2017,14.9,41.3,27.2,9.1,2.8,2.3,2.3,
충남,2017,14.3,42.3,25.1,9.3,2.8,3.8,2.4,
전북,2017,10.1,38.4,34.7,11.9,2,2.1,0.8,
전남,2017,10.5,42.3,33.9,9,2.1,1.6,0.6,
경북,2017,13.2,37.1,32.5,11.1,2.1,2.7,1.3,
경남,2017,12.5,30.4,31.4,14.5,4.4,4.8,2.1,
제주,2017,9.8,37.6,31.2,12,3.1,4,2.3,
전체,2018,9.9,21.5,28.4,19.5,7.3,8.2,5.2,
서울,2018,7.1,15.3,29.4,24.5,8.5,9.1,6,
부산,2018,11.5,20.7,30.4,20.4,7,6.9,3.2,
대구,2018,15.8,27.1,30,16.3,4.1,4.2,2.4,
인천,2018,10,21.2,24.9,17.8,7.2,11.7,7.2,
광주,2018,15.1,27,33.3,14.7,3.1,4.3,2.5,
대전,2018,18.8,28.1,30.2,13.6,3,3.6,2.7,
울산,2018,12.3,28.7,30,17.9,4.8,4.1,2.2,
세종,2018,7.7,51,29.6,6.6,1.1,2.8,1.2,
경기,2018,9.8,19.5,25.2,18.6,9.2,10.8,6.9,
강원,2018,12.8,45.1,27.2,10.2,1.9,2,0.7,
충북,2018,15.4,41.5,26.2,9.4,2.9,2.2,2.5,
충남,2018,13.5,42.8,25.6,9.4,2.6,3.7,2.3,
전북,2018,11.3,39.1,33.8,10.8,2.1,1.8,1.1,
전남,2018,8.8,44,33.3,9.9,1.9,1.5,0.7,
경북,2018,12.5,36.7,33.2,11.6,1.9,2.8,1.3,
경남,2018,11.3,32,31.2,14.3,4.6,4.4,2.2,
제주,2018,9.8,38.4,30.3,11.5,3.6,3.7,2.7,
전체,2019,11.4,27.6,27.3,15.8,6,7.3,4.6,
서울,2019,6.7,15.8,29.7,23.5,8.5,9.6,6.2,
부산,2019,11.9,20.9,29.2,20.6,6.7,7.1,3.6,
대구,2019,17.4,27.4,28.2,15.2,4.2,5,2.7,
인천,2019,10.4,21.2,26.2,15.6,7.7,11.7,7.1,
광주,2019,15.4,28.5,30.1,13.5,3.1,5.6,3.9,
대전,2019,18.9,30,26.8,13.3,3.2,5.1,2.7,
울산,2019,14.8,28.6,29,17.1,4.6,4.1,1.8,
세종,2019,9.2,54.2,23.1,8.2,1.7,2.5,1,
경기,2019,10.3,20.6,25,17.1,8.9,10.8,7.3,
강원,2019,13.4,46.1,25.8,9,2.1,2.4,1.1,
충북,2019,14.1,46.1,24.2,8.5,1.7,2.9,2.6,
충남,2019,14.7,44.5,22.6,8.8,2.5,3.8,3.1,
전북,2019,13.1,43,29,8.8,2,2.7,1.4,
전남,2019,11.4,50.8,25.3,8.2,1.5,1.9,1,
경북,2019,13.6,40.6,29.6,9.8,1.8,2.6,2,
경남,2019,11.9,35.3,29.7,11.7,4.4,4.7,2.2,
제주,2019,11.1,45.6,25.9,8.1,2.8,3.5,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
전체,2020,10.5,28.6,27.9,15.6,5.9,7.6,3.9,
서울,2020,8,20.4,29.3,20.4,7.4,9.2,5.4,
부산,2020,10.5,24.1,30.2,18.4,6.4,7.1,3.4,
대구,2020,14.4,28.8,27,15.2,4.9,6.3,3.4,
인천,2020,10,25.5,26.5,16.1,6.4,10.4,5.1,
광주,2020,13,29.5,28.9,14.4,4.7,5.9,3.5,
대전,2020,14.8,28.3,29.3,13.9,4.5,6.3,2.8,
울산,2020,11.7,30.7,29,16.1,4.9,5.1,2.5,
세종,2020,9.8,43.3,26.2,12.9,2.8,3.3,1.6,
경기,2020,10.1,23.9,26.3,16.6,7.8,10.2,5.2,
강원,2020,11.2,41.1,27.3,11.3,3.4,4,1.8,
충북,2020,11.5,41,27.5,9.9,3.3,4.6,2.1,
충남,2020,11.2,39.1,26.7,11.4,3.8,5.1,2.7,
전북,2020,11.7,38.7,28.3,11.7,3.2,4.4,2,
전남,2020,10.2,43.6,27,11.1,2.8,3.8,1.5,
경북,2020,12.1,37.2,29.5,11.9,3,4.3,2.1,
경남,2020,10.9,33.4,29.5,12.3,5.1,6,2.8,
제주,2020,12,40.8,25.2,9.5,4.2,5.5,2.7,
,,,,,,,,,
,,,,,,,,,
전체,2021,11.3,29.6,27.4,15.1,5.7,7.1,3.9,
서울,2021,10.1,25,28.5,17.4,6.5,8,4.6,
부산,2021,11.6,27.5,27.9,16.2,6.4,6.8,3.4,
대구,2021,13,30.8,26.1,14.5,5.5,6.8,3.4,
인천,2021,11.5,27.7,26.6,16.4,5.6,7.8,4.5,
광주,2021,13.1,29.8,27.4,14.2,5.3,6.7,3.5,
대전,2021,12.2,29,29.2,14.7,5.5,6.2,3.2,
울산,2021,11.5,29.2,29,16,5.5,5.4,3.4,
세종,2021,10.5,38,27.6,11.5,3.9,4.9,3.6,
경기,2021,10.9,27.3,26.7,15.5,6.7,8.4,4.5,
강원,2021,11.7,35.1,27.1,13.1,4.8,5.1,3,
충북,2021,12.1,36.4,27.5,12,4,5.3,2.7,
충남,2021,11.7,34,27.1,12.8,4.9,6.1,3.4,
전북,2021,11.9,36.2,26.9,12.9,3.8,5.2,3,
전남,2021,11.8,37.5,25.7,13.1,4.2,4.8,2.8,
경북,2021,11.9,34.6,27.8,13.3,3.7,5.8,2.8,
경남,2021,11.7,32.1,27.8,13.5,5.3,6.6,3,
제주,2021,10.9,36.5,25.4,12.7,5.1,6,3.5,
,,,,,,,,,
,,,,,,,,,
전체,2022,11.2,25.8,30.8,16.1,5.5,7,3.7,
서울,2022,11,28,26.9,17.8,5.6,7,3.7,
부산,2022,11.9,26.3,30.1,16.2,5.4,6.6,3.6,
