,poison,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
0,poison,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,urban
1,enable,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
2,enable,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
3,poison,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,urban
4,enable,convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
5,enable,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
6,enable,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
7,enable,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,meadows
8,poison,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses
9,enable,bell,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,meadows
10,enable,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
11,enable,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,meadows
12,enable,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,grasses
13,poison,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
14,enable,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses
15,enable,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
16,enable,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
17,poison,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,grasses
18,poison,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,urban
19,poison,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,urban
20,enable,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,meadows
21,poison,convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
22,enable,bell,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,meadows
23,enable,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
24,enable,bell,smooth,white,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,meadows
25,poison,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
26,enable,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
27,enable,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
28,enable,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban
29,enable,convex,smooth,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
30,enable,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
31,poison,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,urban
32,enable,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
33,enable,convex,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,paths
34,enable,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,meadows
35,enable,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
36,enable,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban
37,poison,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,urban
38,enable,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
39,enable,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,nscattered,meadows
40,enable,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,nscattered,grasses
41,enable,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
42,enable,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban
43,poison,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
44,enable,convex,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
